Timestamp,Trigger,Sensores_OK,TP9,FP1,FP2,TP10
1789840131.126602,0,1,863.6146850585938,802.7504272460938,837.2949829101562,866.9046630859375
1789840131.1377487,0,1,850.454833984375,804.3953857421875,830.715087890625,840.5849609375
1789840131.1485627,0,1,868.5496215820312,797.8154907226562,825.7801513671875,866.9046630859375
1789840131.1594808,0,1,832.3600463867188,804.3953857421875,829.070068359375,817.5552368164062
1789840131.1702492,0,1,847.1648559570312,801.1054077148438,820.84521484375,850.454833984375
1789840131.181322,0,1,847.1648559570312,801.1054077148438,820.84521484375,850.454833984375
1789840131.1921725,0,1,847.1648559570312,801.1054077148438,820.84521484375,850.454833984375
1789840131.2032015,0,1,847.1648559570312,801.1054077148438,820.84521484375,850.454833984375
1789840131.214549,0,1,847.1648559570312,801.1054077148438,820.84521484375,850.454833984375
1789840131.2251658,0,1,819.2001953125,806.0403442382812,822.4901733398438,804.3953857421875
1789840131.2363036,0,1,825.7801513671875,801.1054077148438,834.0050048828125,809.330322265625
1789840131.2470212,0,1,837.2949829101562,801.1054077148438,825.7801513671875,815.9102783203125
1789840131.257727,0,1,866.9046630859375,810.9752807617188,835.6500244140625,858.6797485351562
1789840131.2684944,0,1,876.7745361328125,807.6853637695312,829.070068359375,880.064453125
1789840131.2792697,0,1,838.9400024414062,804.3953857421875,829.070068359375,817.5552368164062
1789840131.290486,0,1,850.454833984375,820.84521484375,829.070068359375,837.2949829101562
1789840131.3015273,0,1,850.454833984375,820.84521484375,829.070068359375,837.2949829101562
1789840131.3123517,0,1,850.454833984375,820.84521484375,829.070068359375,837.2949829101562
1789840131.3233645,0,1,850.454833984375,820.84521484375,829.070068359375,837.2949829101562
1789840131.3345547,0,1,850.454833984375,820.84521484375,829.070068359375,837.2949829101562
1789840131.3454947,0,1,835.6500244140625,837.2949829101562,799.46044921875,781.3656616210938
1789840131.3566067,0,1,860.32470703125,847.1648559570312,774.7857666015625,781.3656616210938
1789840131.367239,0,1,860.32470703125,847.1648559570312,774.7857666015625,781.3656616210938
1789840131.3780577,0,1,909.6741333007812,848.8098754882812,771.4957885742188,840.5849609375
1789840131.3889415,0,1,870.194580078125,840.5849609375,781.3656616210938,810.9752807617188
1789840131.3997698,0,1,883.3544311523438,832.3600463867188,791.2355346679688,847.1648559570312
1789840131.4110851,0,1,883.3544311523438,832.3600463867188,791.2355346679688,847.1648559570312
1789840131.4224005,0,1,883.3544311523438,832.3600463867188,791.2355346679688,847.1648559570312
1789840131.4331627,0,1,883.3544311523438,832.3600463867188,791.2355346679688,847.1648559570312
1789840131.4440613,0,1,883.3544311523438,832.3600463867188,791.2355346679688,847.1648559570312
1789840131.4546359,0,1,861.9697265625,832.3600463867188,799.46044921875,801.1054077148438
1789840131.4656398,0,1,873.4845581054688,827.4251098632812,802.7504272460938,842.2299194335938
1789840131.4770727,0,1,893.2243041992188,829.070068359375,812.6203002929688,881.70947265625
1789840131.4882736,0,1,850.454833984375,830.715087890625,815.9102783203125,824.1351318359375
1789840131.4990785,0,1,870.194580078125,825.7801513671875,815.9102783203125,848.8098754882812
1789840131.509721,0,1,870.194580078125,825.7801513671875,815.9102783203125,848.8098754882812
1789840131.5208654,0,1,870.194580078125,825.7801513671875,815.9102783203125,848.8098754882812
1789840131.5328112,0,1,870.194580078125,825.7801513671875,815.9102783203125,848.8098754882812
1789840131.543475,0,1,837.2949829101562,820.84521484375,819.2001953125,802.7504272460938
1789840131.5544999,0,1,830.715087890625,822.4901733398438,825.7801513671875,810.9752807617188
1789840131.5658033,0,1,852.0997924804688,815.9102783203125,829.070068359375,843.8749389648438
1789840131.576938,0,1,842.2299194335938,819.2001953125,832.3600463867188,817.5552368164062
1789840131.5879138,0,1,840.5849609375,812.6203002929688,830.715087890625,817.5552368164062
1789840131.5990207,0,1,857.0347290039062,822.4901733398438,827.4251098632812,824.1351318359375
1789840131.6099992,0,1,857.0347290039062,822.4901733398438,827.4251098632812,824.1351318359375
1789840131.6207175,0,1,857.0347290039062,822.4901733398438,827.4251098632812,824.1351318359375
1789840131.631888,0,1,857.0347290039062,822.4901733398438,827.4251098632812,824.1351318359375
1789840131.6433158,0,1,868.5496215820312,817.5552368164062,834.0050048828125,857.0347290039062
1789840131.6543274,0,1,834.0050048828125,815.9102783203125,837.2949829101562,771.4957885742188
1789840131.6652389,0,1,881.70947265625,822.4901733398438,834.0050048828125,838.9400024414062
1789840131.6764414,0,1,842.2299194335938,814.2652587890625,830.715087890625,778.07568359375
1789840131.6875288,0,1,876.7745361328125,822.4901733398438,830.715087890625,827.4251098632812
1789840131.6985645,0,1,876.7745361328125,822.4901733398438,830.715087890625,827.4251098632812
1789840131.709439,0,1,876.7745361328125,822.4901733398438,830.715087890625,827.4251098632812
1789840131.720763,0,1,876.7745361328125,822.4901733398438,830.715087890625,827.4251098632812
1789840131.732123,0,1,883.3544311523438,820.84521484375,838.9400024414062,850.454833984375
1789840131.7432737,0,1,857.0347290039062,819.2001953125,834.0050048828125,807.6853637695312
1789840131.7542753,0,1,883.3544311523438,822.4901733398438,830.715087890625,845.5198974609375
1789840131.7656298,0,1,838.9400024414062,817.5552368164062,834.0050048828125,774.7857666015625
1789840131.7768297,0,1,873.4845581054688,822.4901733398438,837.2949829101562,838.9400024414062
1789840131.7883272,0,1,861.9697265625,824.1351318359375,832.3600463867188,809.330322265625
1789840131.7997246,0,1,861.9697265625,824.1351318359375,832.3600463867188,809.330322265625
1789840131.81077,0,1,861.9697265625,824.1351318359375,832.3600463867188,809.330322265625
1789840131.8220458,0,1,830.715087890625,824.1351318359375,832.3600463867188,763.2708740234375
1789840131.8331957,0,1,880.064453125,827.4251098632812,834.0050048828125,835.6500244140625
1789840131.8440428,0,1,832.3600463867188,812.6203002929688,825.7801513671875,766.5608520507812
1789840131.855349,0,1,832.3600463867188,817.5552368164062,829.070068359375,778.07568359375
1789840131.866391,0,1,868.5496215820312,817.5552368164062,837.2949829101562,810.9752807617188
1789840131.8775058,0,1,868.5496215820312,817.5552368164062,837.2949829101562,810.9752807617188
1789840131.8884742,0,1,868.5496215820312,817.5552368164062,837.2949829101562,810.9752807617188
1789840131.8998559,0,1,868.5496215820312,817.5552368164062,837.2949829101562,810.9752807617188
1789840131.91095,0,1,868.5496215820312,817.5552368164062,837.2949829101562,810.9752807617188
