Timestamp,Trigger,Sensores_OK,TP9,FP1,FP2,TP10
1789840199.3403077,0,1,871.839599609375,820.84521484375,817.5552368164062,860.32470703125
1789840199.3514009,0,1,871.839599609375,820.84521484375,817.5552368164062,860.32470703125
1789840199.3625178,0,1,848.8098754882812,820.84521484375,822.4901733398438,825.7801513671875
1789840199.3734705,0,1,853.7448120117188,819.2001953125,819.2001953125,827.4251098632812
1789840199.3843973,0,1,870.194580078125,819.2001953125,819.2001953125,852.0997924804688
1789840199.3950706,0,1,843.8749389648438,819.2001953125,827.4251098632812,832.3600463867188
1789840199.4060924,0,1,871.839599609375,820.84521484375,825.7801513671875,866.9046630859375
1789840199.4172196,0,1,860.32470703125,820.84521484375,827.4251098632812,855.3897705078125
1789840199.4279094,0,1,860.32470703125,820.84521484375,827.4251098632812,855.3897705078125
1789840199.4391775,0,1,860.32470703125,820.84521484375,827.4251098632812,855.3897705078125
1789840199.4499314,0,1,842.2299194335938,817.5552368164062,827.4251098632812,825.7801513671875
1789840199.4610114,0,1,853.7448120117188,824.1351318359375,824.1351318359375,845.5198974609375
1789840199.471599,0,1,829.070068359375,820.84521484375,827.4251098632812,806.0403442382812
1789840199.4828277,0,1,847.1648559570312,817.5552368164062,819.2001953125,830.715087890625
1789840199.4938235,0,1,850.454833984375,815.9102783203125,829.070068359375,838.9400024414062
1789840199.5050762,0,1,866.9046630859375,820.84521484375,832.3600463867188,848.8098754882812
1789840199.5164032,0,1,866.9046630859375,820.84521484375,832.3600463867188,848.8098754882812
1789840199.52704,0,1,866.9046630859375,820.84521484375,832.3600463867188,848.8098754882812
1789840199.538158,0,1,866.9046630859375,820.84521484375,832.3600463867188,848.8098754882812
1789840199.5492623,0,1,866.9046630859375,820.84521484375,832.3600463867188,848.8098754882812
1789840199.560289,0,1,871.839599609375,822.4901733398438,830.715087890625,865.2596435546875
1789840199.5712693,0,1,842.2299194335938,820.84521484375,835.6500244140625,829.070068359375
1789840199.5824597,0,1,855.3897705078125,817.5552368164062,829.070068359375,852.0997924804688
1789840199.593431,0,1,843.8749389648438,815.9102783203125,830.715087890625,838.9400024414062
1789840199.6044285,0,1,861.9697265625,812.6203002929688,830.715087890625,855.3897705078125
1789840199.6153874,0,1,861.9697265625,812.6203002929688,830.715087890625,855.3897705078125
1789840199.6262434,0,1,861.9697265625,812.6203002929688,830.715087890625,855.3897705078125
1789840199.6373956,0,1,858.6797485351562,817.5552368164062,827.4251098632812,857.0347290039062
1789840199.6483946,0,1,858.6797485351562,817.5552368164062,824.1351318359375,837.2949829101562
1789840199.6589572,0,1,848.8098754882812,820.84521484375,827.4251098632812,822.4901733398438
1789840199.6697245,0,1,861.9697265625,819.2001953125,829.070068359375,847.1648559570312
1789840199.680569,0,1,857.0347290039062,815.9102783203125,834.0050048828125,860.32470703125
1789840199.6911876,0,1,857.0347290039062,815.9102783203125,834.0050048828125,860.32470703125
1789840199.7021697,0,1,857.0347290039062,815.9102783203125,834.0050048828125,860.32470703125
